,Fold 1 (%),Fold 2 (%),Fold 3 (%),Fold 4 (%),Fold 5 (%),Mean Class Acc (%)
helicopter,37.49999531250059,87.49998906250137,49.99999375000079,37.49999531250059,49.99999375000079,52.49999343750083
engine,37.49999531250059,49.99999375000079,49.99999375000079,87.49998906250137,74.99999062500117,59.99999250000094
washing_machine,12.499998437500198,87.49998906250137,74.99999062500117,74.99999062500117,62.499992187500986,62.49999218750098
wind,37.49999531250059,49.99999375000079,62.499992187500986,99.99998750000158,74.99999062500117,64.99999187500103
airplane,62.499992187500986,87.49998906250137,87.49998906250137,99.99998750000158,49.99999375000079,77.49999031250121
pig,87.49998906250137,87.49998906250137,87.49998906250137,74.99999062500117,49.99999375000079,77.49999031250121
laughing,74.99999062500117,74.99999062500117,99.99998750000158,87.49998906250137,49.99999375000079,77.49999031250121
frog,87.49998906250137,87.49998906250137,87.49998906250137,74.99999062500117,62.499992187500986,79.99999000000125
water_drops,99.99998750000158,62.499992187500986,62.499992187500986,87.49998906250137,87.49998906250137,79.99999000000125
mouse_click,87.49998906250137,87.49998906250137,37.49999531250059,87.49998906250137,99.99998750000158,79.99999000000125
fireworks,87.49998906250137,74.99999062500117,99.99998750000158,99.99998750000158,37.49999531250059,79.99999000000125
sheep,87.49998906250137,87.49998906250137,99.99998750000158,37.49999531250059,99.99998750000158,82.4999896875013
footsteps,87.49998906250137,99.99998750000158,74.99999062500117,62.499992187500986,87.49998906250137,82.4999896875013
sea_waves,74.99999062500117,99.99998750000158,87.49998906250137,62.499992187500986,87.49998906250137,82.4999896875013
rain,99.99998750000158,74.99999062500117,49.99999375000079,99.99998750000158,87.49998906250137,82.4999896875013
cat,87.49998906250137,87.49998906250137,62.499992187500986,87.49998906250137,87.49998906250137,82.4999896875013
keyboard_typing,62.499992187500986,87.49998906250137,99.99998750000158,99.99998750000158,62.499992187500986,82.4999896875013
hand_saw,74.99999062500117,87.49998906250137,74.99999062500117,99.99998750000158,74.99999062500117,82.49998968750131
train,87.49998906250137,87.49998906250137,49.99999375000079,99.99998750000158,99.99998750000158,84.99998937500133
drinking_sipping,99.99998750000158,74.99999062500117,99.99998750000158,62.499992187500986,87.49998906250137,84.99998937500133
dog,49.99999375000079,99.99998750000158,74.99999062500117,99.99998750000158,99.99998750000158,84.99998937500133
hen,87.49998906250137,87.49998906250137,87.49998906250137,99.99998750000158,74.99999062500117,87.49998906250137
coughing,87.49998906250137,62.499992187500986,87.49998906250137,99.99998750000158,99.99998750000158,87.49998906250137
brushing_teeth,87.49998906250137,87.49998906250137,99.99998750000158,74.99999062500117,87.49998906250137,87.49998906250138
crying_baby,74.99999062500117,87.49998906250137,99.99998750000158,87.49998906250137,99.99998750000158,89.9999887500014
door_wood_creaks,99.99998750000158,74.99999062500117,99.99998750000158,87.49998906250137,87.49998906250137,89.9999887500014
car_horn,87.49998906250137,87.49998906250137,99.99998750000158,87.49998906250137,87.49998906250137,89.9999887500014
clapping,99.99998750000158,87.49998906250137,99.99998750000158,99.99998750000158,62.499992187500986,89.99998875000142
crackling_fire,87.49998906250137,87.49998906250137,99.99998750000158,99.99998750000158,74.99999062500117,89.99998875000142
glass_breaking,99.99998750000158,87.49998906250137,99.99998750000158,62.499992187500986,99.99998750000158,89.99998875000142
crow,87.49998906250137,99.99998750000158,62.499992187500986,99.99998750000158,99.99998750000158,89.99998875000142
insects,99.99998750000158,49.99999375000079,99.99998750000158,99.99998750000158,99.99998750000158,89.99998875000142
crickets,99.99998750000158,99.99998750000158,74.99999062500117,99.99998750000158,87.49998906250137,92.49998843750146
rooster,87.49998906250137,99.99998750000158,74.99999062500117,99.99998750000158,99.99998750000158,92.49998843750146
sneezing,99.99998750000158,99.99998750000158,87.49998906250137,87.49998906250137,87.49998906250137,92.49998843750146
chainsaw,99.99998750000158,87.49998906250137,99.99998750000158,87.49998906250137,87.49998906250137,92.49998843750146
vacuum_cleaner,87.49998906250137,74.99999062500117,99.99998750000158,99.99998750000158,99.99998750000158,92.49998843750146
can_opening,99.99998750000158,87.49998906250137,99.99998750000158,99.99998750000158,74.99999062500117,92.49998843750146
breathing,99.99998750000158,87.49998906250137,87.49998906250137,99.99998750000158,87.49998906250137,92.49998843750146
cow,87.49998906250137,99.99998750000158,87.49998906250137,99.99998750000158,99.99998750000158,94.9999881250015
pouring_water,74.99999062500117,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,94.9999881250015
snoring,74.99999062500117,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,94.9999881250015
siren,99.99998750000158,87.49998906250137,99.99998750000158,99.99998750000158,87.49998906250137,94.9999881250015
door_wood_knock,99.99998750000158,99.99998750000158,74.99999062500117,99.99998750000158,99.99998750000158,94.9999881250015
chirping_birds,99.99998750000158,87.49998906250137,99.99998750000158,99.99998750000158,99.99998750000158,97.49998781250153
thunderstorm,87.49998906250137,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,97.49998781250153
toilet_flush,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158
clock_alarm,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158
church_bells,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158
clock_tick,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158,99.99998750000158
